id_igralca,id_filma,vloga
0943758,0046250,R
0000034,0046359,I
0852279,0046359,I
0695937,0046359,I
0833865,0046359,I
0501183,0046359,I
0258757,0046359,I
0336335,0046359,I
0104507,0046359,I
0750079,0046359,I
0601620,0046359,I
0049975,0046359,I
0832139,0046359,I
0790065,0046359,I
0682809,0046359,I
0833645,0046359,I
0492817,0046359,I
0436209,0046359,I
0874522,0046359,I
0000697,0046359,R
0000042,0046303,I
0000795,0046303,I
0001336,0046303,I
0001121,0046303,I
0001588,0046303,I
0424565,0046303,I
0118000,0046303,I
0583093,0046303,I
0176879,0046303,I
0817930,0046303,I
0226109,0046303,I
0179289,0046303,I
0574707,0046303,I
1547109,0046303,I
0263330,0046303,I
0835012,0046303,I
0818724,0046303,I
0140849,0046303,I
0828419,0046303,R
0000044,0045793,I
0001050,0045793,I
0000039,0045793,I
0001656,0045793,I
0000069,0045793,I
0643211,0045793,I
0789485,0045793,I
0068772,0045793,I
0000308,0045793,I
0912001,0045793,I
0112392,0045793,I
0871419,0045793,I
0752878,0045793,I
0444426,0045793,I
0607077,0045793,I
0015391,0045793,I
0049137,0045793,I
0058334,0045793,I
0003593,0045793,R
0382548,0046008,I
0019282,0046008,R
0001989,0046000,I
0002072,0046000,I
0001922,0046000,I
0001248,0046000,I
0441069,0046000,I
0086469,0046000,I
0314778,0046000,I
0241589,0046000,I
0333807,0046000,I
0062736,0046000,I
0096470,0046000,I
1242632,0046000,I
0188149,0046000,I
0204639,0046000,I
1519516,0046000,I
0283170,0046000,I
0337138,0046000,I
0349798,0046000,I
0910199,0046000,R
0129894,0045943,I
0000008,0045943,I
0000051,0045943,I
0000024,0045943,I
0639529,0045943,I
0002093,0045943,I
0000039,0045943,I
0534317,0045943,I
0665327,0045943,I
0354989,0045943,I
0621002,0045943,I
0398466,0045943,I
0694631,0045943,I
0183184,0045943,I
0706978,0045943,I
0938052,0045943,I
0267670,0045943,I
0681055,0045943,I
0000581,0045943,R
0000013,0045591,I
0444476,0045591,I
0572885,0045591,I
0137023,0045591,I
0921879,0045591,I
0367670,0045591,I
0424793,0045591,I
0730344,0045591,I
0011535,0045591,I
0017674,0045591,I
0023007,0045591,I
0028166,0045591,I
0033815,0045591,I
0043035,0045591,I
0063038,0045591,I
0068216,0045591,I
0071986,0045591,I
0088285,0045591,I
0124877,0045591,R
0477553,0045935,I
0367928,0045935,I
0945299,0045935,I
0475872,0045935,I
0051812,0045935,I
0853392,0045935,I
0784119,0045935,I
0793674,0045935,I
0410965,0045935,I
0879971,0045935,I
0793643,0045935,I
0032894,0045935,I
0590918,0045935,I
0596097,0045935,I
0434595,0045935,I
0032900,0045935,I
0768029,0045935,I
0467043,0045935,I
0455938,0045935,R
0925804,0046006,I
0935844,0046006,I
0180920,0046006,I
0534280,0046006,I
0026876,0046006,I
0000942,0046006,I
0212470,0046006,I
0840109,0046006,I
0706022,0046006,I
0829450,0046006,I
0164050,0046006,I
0940175,0046006,I
0066472,0046006,I
0174987,0046006,I
2049715,0046006,I
1738171,0046006,I
0567018,0046006,I
0494885,0046006,R
0058001,0046534,I
0732378,0046534,I
0871876,0046534,I
0180452,0046534,I
0317637,0046534,I
0552683,0046534,I
0828864,0046534,I
0293659,0046534,I
0681055,0046534,I
0723731,0046534,I
0104770,0046534,I
0472816,0046534,I
0362567,0046534,I
0011262,0046534,I
0017458,0046534,I
0020582,0046534,I
0055464,0046534,I
0057422,0046534,I
0005738,0046534,R
0916067,0046435,I
0001766,0046435,I
0001822,0046435,I
0198241,0046435,I
0728812,0046435,I
0000731,0046435,I
0000865,0046435,I
0430870,0046435,I
0865185,0046435,I
0074047,0046435,I
0426954,0046435,I
0013934,0046435,I
0026039,0046435,I
0046812,0046435,I
0051618,0046435,I
0076150,0046435,I
0087253,0046435,I
0064416,0046435,I
0624535,0046435,R
0000009,0046247,I
0001739,0046247,I
0001514,0046247,I
0719692,0046247,I
0732717,0046247,I
0415591,0046247,I
0857147,0046247,I
0095524,0046247,I
0820615,0046247,I
0607504,0046247,I
0857658,0046247,I
0011625,0046247,I
0039169,0046247,I
0030516,0046247,I
0038066,0046247,I
0039954,0046247,I
0045839,0046247,I
0059177,0046247,I
0467396,0046247,R
0581062,0045592,I
0640307,0045592,I
0893584,0045592,I
0001695,0045592,I
0212461,0045592,I
0200626,0045592,I
0805790,0045592,I
0314065,0045592,I
0836724,0045592,I
0803785,0045592,I
0227644,0045592,I
0663183,0045592,I
0375887,0045592,I
0019922,0045592,I
0023007,0045592,I
0043554,0045592,I
0067589,0045592,I
0073472,0045592,I
0485943,0045592,R
0285319,0044009,I
0902226,0044009,I
0000740,0044009,R
0000008,0047296,I
0001500,0047296,I
0002011,0047296,I
0001768,0047296,I
0377416,0047296,I
0002063,0047296,I
0922599,0047296,I
0301977,0047296,I
0561157,0047296,I
0357910,0047296,I
0374939,0047296,I
0094036,0047296,I
0085737,0047296,I
0444426,0047296,I
0800047,0047296,I
0001693,0047296,I
0000842,0047296,I
0074636,0047296,I
0001415,0047296,R
0000063,0047528,I
0556399,0047528,I
0000865,0047528,I
0798570,0047528,I
0746279,0047528,I
0893425,0047528,I
0147566,0047528,I
0302853,0047528,I
0320399,0047528,I
1856108,0047528,I
0664811,0047528,I
0697586,0047528,I
2024204,0047528,I
0402231,0047528,I
0820670,0047528,I
0000019,0047528,R
0000007,0047437,I
0000030,0047437,I
0000034,0047437,I
0358899,0047437,I
0002369,0047437,I
0405054,0047437,I
0901143,0047437,I
0197950,0047437,I
0384787,0047437,I
0908063,0047437,I
0124279,0047437,I
0179289,0047437,I
0013866,0047437,I
0047450,0047437,I
0070757,0047437,I
0071913,0047437,I
0103326,0047437,I
0112201,0047437,I
0000697,0047437,R
0001536,0047444,I
0645422,0047444,I
0586733,0047444,I
0648802,0047444,I
0944779,0047444,I
0593930,0047444,I
0594542,0047444,I
0386284,0047444,I
0008354,0047444,I
0654712,0047444,I
0849423,0047444,I
0648543,0047444,I
0559603,0047444,I
0959989,0047444,I
0453769,0047444,I
0784770,0047444,I
0875496,0047444,I
0755403,0047444,I
0408348,0047444,R
0007225,0047472,I
0444476,0047472,I
0724143,0047472,I
0848560,0047472,I
0707720,0047472,I
0686885,0047472,I
0560443,0047472,I
0195073,0047472,I
0628325,0047472,I
0453025,0047472,I
0139607,0047472,I
0317208,0047472,I
0498181,0047472,I
0230497,0047472,I
0938052,0047472,I
0677962,0047472,I
0059134,0047472,I
0228099,0047472,I
0002045,0047472,R
