id,ime
0798826,Frank Silvera
0024700,Florenz Ames
0740378,Fay Roope
0242972,Mildred Dunnock
0015976,Rico Alaniz
5146893,Daniel Armijo
0046564,Ross Bagdasarian
0046812,Salvador Baguez
0001248,Zsa Zsa Gabor
0282530,Suzanne Flon
0634488,Claude Nollier
0441251,Katherine Kath
0809421,Muriel Smith
0163515,Mary Clare
0187957,Walter Crisham
0440661,Harold Kasket
0486946,Georges Lannes
0598777,Lee Montague
0841842,Maureen Swanson
0501384,Tutte Lemkow
0071824,Jill Bennett
0001088,Peter Cushing
0141202,Charles Carson
0189293,Walter Cross
0724732,Ralph Richardson
0002897,Ann Todd
0665902,Nigel Patrick
0433188,John Justin
0792163,Dinah Sheridan
0866627,Joseph Tomelty
0001186,Denholm Elliott
0020600,Jack Allen
0584194,Ralph Michael
1812777,Rodney Goodall
0365999,Donald Harron
0391644,Vincent Holman
1030252,Jolyon Jackley
0611345,Douglas Muir
0680587,Leslie Phillips
0811013,Anthony Snell
0818095,Sally-Jane Spencer
0877839,Robert Brooks Turner
0000180,David Lean
0001333,Susan Hayward
0001983,Rory Calhoun
0915536,David Wayne
0001822,Robert Wagner
0922505,Helen Westcott
0580916,Una Merkel
0020005,Richard Allan
0795289,Max Showalter
0646828,Eddie Oliver
0016251,John Alban
0035504,Gordon Armitage
0041598,Eleanor Audley
0048448,Frank Baker
0049852,Bill Baldwin
0102251,Jack Boyle
0103362,Paul Bradley
0112201,Ralph Brooks
0485943,Walter Lang
0000032,Charlton Heston
0664273,Cornel Wilde
0483787,Dorothy Lamour
0928295,Henry Wilcoxon
0079328,Lyle Bettger
0862937,Lawrence Tierney
0446374,Emmett Kelly
0190975,Cucciola
0174234,Antoinette Concello
0636026,John Ringling North
0312672,Tuffy Genders
0446120,John Kellogg
0928207,Frank Wilcox
0141311,Robert Carson
0000075,Spencer Tracy
0000074,Gene Tierney
0004496,Van Johnson
0312890,Leo Genn
0011625,Dawn Addams
0215000,John Dehner
0412443,Tommy Ivo
0237286,Noel Drayton
2015175,The Mayflower
0017580,John Alderson
0110375,Roger Broaddus
0114127,Loren Brown
0146905,Paul Cavanagh
0176855,Gene Coogan
0179321,Noreen Corcoran
0113284,Clarence Brown
0000060,Gregory Peck
0000734,Eddie Albert
0694403,Hartley Power
0930732,Harcourt Williams
0712615,Margaret Rawlings
0138479,Tullio Carminati
0137567,Paolo Carlini
0259599,Claudio Ermelli
0095979,Paola Borboni
0729866,Alfredo Rizzo
0812726,Laura Solari
0330926,Gorella Gori
0024363,Armando Ambrogi
0030433,Armando Annuale
0034257,Maurizio Arena
0046785,Silvio Bagolini
0049331,Nadia Balabine
0943758,William Wyler
0852279,Don Taylor
0695937,Otto Preminger
0833865,Robert Strauss
0501183,Harvey Lembeck
0258757,Richard Erdman
0336335,Peter Graves
0104507,Neville Brand
0750079,Sig Ruman
0601620,Michael Moore
0049975,Peter Baldwin
0832139,Robinson Stone
0790065,Robert Shawley
0682809,William Pierson
0833645,Gil Stratton
0492817,Jay Lawrence
0436209,Erwin Kalser
0874522,Edmund Trzcinski
0000042,Alan Ladd
0000795,Jean Arthur
0001336,Van Heflin
0001121,Brandon De Wilde
0424565,Ben Johnson
0118000,Edgar Buchanan
0583093,Emile Meyer
0176879,Elisha Cook Jr.
0817930,Douglas Spencer
0226109,John Dierkes
1547109,John Miller
0263330,Edith Evanson
0835012,Leonard Strong
0818724,Ray Spiker
0140849,Janice Carroll
0001656,Donna Reed
0000069,Frank Sinatra
0789485,Mickey Shaughnessy
0068772,Harry Bellaver
0000308,Ernest Borgnine
0912001,Jack Warden
0112392,John Dennis
0871419,Merle Travis
0752878,Tim Ryan
0444426,Arthur Keegan
0607077,Barbara Morrison
0015391,Claude Akins
0049137,Vicki Bakken
0058334,Margaret Barstow
0382548,Winston Hibler
0019282,James Algar
0002072,Mel Ferrer
0001922,Jean-Pierre Aumont
0441069,Kurt Kasznar
