id_filma,zanr
0054195,Comedy
0054195,Drama
0054195,Family
0053580,Classical Western
0053580,Desert Adventure
0053580,Historical Epic
0053580,War Epic
0053580,Western Epic
0053580,Adventure
0053580,Drama
0053580,History
0053580,War
0053976,Tragedy
0053976,Drama
0054749,Drama
0054749,War
0053793,Period Drama
0053793,Showbiz Drama
0053793,Drama
0053622,Tragedy
0053622,Drama
0053622,Romance
0054198,Comedy
0054198,Drama
0054198,Romance
0054324,Epic
0054324,Period Drama
0054324,Biography
0054324,Drama
0054324,Music
0053810,Comedy
0053810,Drama
0053810,Romance
0054326,Drama
0054993,Documentary
0054993,Family
0053866,Short
0053753,Parody
0053753,Comedy
0053753,Short
0055031,Legal Drama
0055031,Drama
0055031,War
0054698,Romantic Comedy
0054698,Comedy
0054698,Drama
0054698,Romance
0054953,Dark Comedy
0054953,War Epic
0054953,Action
0054953,Adventure
0054953,Drama
0054953,War
0055614,Classic Musical
0055614,Tragic Romance
0055614,Crime
0055614,Drama
0055614,Musical
0055614,Romance
0054997,Drama
0054997,Sport
0055471,Teen Romance
0055471,Drama
0055471,Romance
0055499,Drama
0055913,Dark Comedy
0055913,Comedy
0055913,Drama
0055913,Romance
0056300,Adventure
0056300,Drama
0056300,Fantasy
0056300,Short
0056300,Thriller
0056300,War
0056300,Western
0054854,Satire
0054854,Animation
0054854,Comedy
0054854,Family
0054854,Fantasy
0054854,Short
0053714,Documentary
0054100,Animation
0054100,Comedy
0054100,Family
0054100,Short
0055943,Documentary
0055943,Short
0121293,Documentary
0121293,Short
0055333,Documentary
0055333,Short
0055420,Documentary
0055420,Short
0056172,Adventure Epic
0056172,Desert Adventure
0056172,Epic
0056172,Tragedy
0056172,War Epic
0056172,Adventure
0056172,Biography
0056172,Drama
0056172,War
0056592,Legal Drama
0056592,Period Drama
0056592,Crime
0056592,Drama
0056085,Classical Western
0056085,Epic
0056085,Western Epic
0056085,Action
0056085,Adventure
0056085,War
0056085,Western
0056197,Historical Epic
0056197,War Epic
0056197,Action
0056197,Drama
0056197,History
0056197,War
0056687,Psychological Horror
0056687,Psychological Thriller
0056687,Tragedy
0056687,Drama
0056687,Horror
0056687,Thriller
0056262,Classic Musical
0056262,Comedy
0056262,Family
0056262,Musical
0056262,Romance
0056241,Period Drama
0056241,Biography
0056241,Drama
0055895,Tragedy
0055895,Drama
0056541,Drama
0056541,Romance
0055910,Drama
0056700,Adventure
0056700,Biography
0056700,Comedy
0056700,Drama
0056700,Family
0056700,Fantasy
0056700,Musical
0056700,Romance
0055801,Biography
0055801,Documentary
0055801,History
0055801,War
0056066,Action
0056066,Comedy
0056066,Short
0056075,Animation
0056075,Short
0056937,Desert Adventure
0056937,Docudrama
0056937,Historical Epic
0056937,Biography
0056937,Drama
0056937,History
0056937,Romance
0057193,Adventure Epic
0057193,Caper
0057193,Epic
0057193,Globetrotting Adventure
0057193,Road Trip
0057193,Screwball Comedy
0057193,Slapstick
0057193,Action
0057193,Adventure
0056801,Epic
0056801,Psychological Drama
0056801,Showbiz Drama
0056801,Drama
0057163,Contemporary Western
0057163,Drama
0057163,Western
0057187,Farce
0057187,Satire
0057187,Comedy
0057187,Romance
0057590,Farce
0057590,Adventure
0057590,Comedy
0057590,History
0057590,Romance
0057251,Coming-of-Age
0057251,Period Drama
0057251,Comedy
0057251,Drama
0057171,Romantic Comedy
0057171,Comedy
0057171,Romance
0057634,Drama
0056825,Adventure
0056825,Drama
0057400,Comedy
0056965,Satire
0056965,Animation
0056965,Comedy
0056965,Short
0057459,Biography
0057459,Documentary
0057459,Short
0059613,Comedy
0059613,Family
0059613,Short
0056920,Biography
0056920,Documentary
0056920,Short
0058331,Classic Musical
0058331,Comedy
0058331,Family
0058331,Fantasy
0058331,Musical
0058150,Spy
0058150,Action
0058150,Adventure
0058150,Thriller
0058385,Classic Musical
0058385,Drama
0058385,Family
0058385,Musical
0058385,Romance
0057831,Coming-of-Age
0057831,Period Drama
0057831,Comedy
0057831,Drama
0058404,Psychological Drama
0058404,Drama
0058092,Jungle Adventure
0058092,Romantic Comedy
0058092,Screwball Comedy
0058092,Adventure
0058092,Comedy
0058092,Romance
0058092,War
0057877,Epic
0057877,Historical Epic
0057877,Period Drama
0057877,Political Drama
0057877,Biography
0057877,Drama
0057877,History
0058672,Caper
0058672,Adventure
0058672,Comedy
0058672,Crime
0058672,Thriller
0057812,Fairy Tale
0057812,Supernatural Fantasy
0057812,Fantasy
0057812,Mystery
0057812,Western
0058472,Animation
0058472,Comedy
0058472,Family
0058472,Short
0058364,Documentary
0059814,Documentary
0059814,Short
0057922,Short
0059742,Classic Musical
0059742,Epic
0059742,Period Drama
0059742,Biography
0059742,Drama
0059742,Family
0059742,Musical
0059742,Romance
0059113,Epic
0059113,Romantic Epic
0059113,Tragedy
0059113,Drama
0059113,Romance
0059113,War
0059800,Spy
0059800,Action
0059800,Adventure
0059800,Thriller
0063794,Epic
0063794,Period Drama
0063794,War Epic
0063794,Drama
0063794,Romance
0063794,War
0059243,Adventure Epic
0059243,Parody
0059243,Road Trip
0059243,Satire
0059243,Slapstick
0059243,Action
0059243,Adventure
0059243,Comedy
0059243,Family
0059017,Western
0059712,Drama
0059712,Romance
0059712,War
0059084,Drama
0059084,Romance
0059573,Coming-of-Age
0059573,Tragic Romance
0059573,Drama
0059573,Romance
0059527,Drama
0059527,War
0059674,Drama
0059674,Romance
0059798,Comedy
0059798,Drama
0059798,Romance
0059122,Animation
0059122,Comedy
0059122,Family
0059122,Romance
0059122,Short
0059145,Biography
0059145,Documentary
0059145,History
0058410,Documentary
0058410,Short
0061192,Documentary
0061192,Short
0061138,Coming-of-Age
0061138,Tragic Romance
0061138,Drama
0061138,Romance
0061184,Psychological Drama
0061184,Drama
0060665,Costume Drama
0060665,Period Drama
0060665,Biography
0060665,Drama
0060665,History
0060424,Buddy Comedy
0060424,Satire
0060424,Comedy
0060424,Romance
0059894,Tragedy
0059894,Drama
0059894,War
0060438,Farce
0060438,Comedy
0060438,Musical
0060472,Motorsport
0060472,Drama
0060472,Sport
0060397,Quest
0060397,Space Sci-Fi
0060397,Adventure
0060397,Sci-Fi
0060182,Jungle Adventure
0060182,Adventure
0060182,Biography
0060182,Drama
0060182,Family
0060802,Satire
0060802,Comedy
0060802,Drama
0060802,Romance
0060802,War
0060503,Animation
0060503,Music
0060503,Short
0061205,Documentary
0061205,Short
0061722,Coming-of-Age
0061722,Satire
0061722,Comedy
0061722,Drama
0061722,Romance
0061578,Action
0061578,Adventure
0061578,War
0061418,Caper
0061418,Docudrama
0061418,Period Drama
0061418,Tragedy
0061418,True Crime
0061418,Action
0061418,Biography
0061418,Crime
0061418,Drama
0061512,Prison Drama
0061512,Tragedy
0061512,Crime
0061512,Drama
0061811,Suspense Mystery
0061811,Drama
0061811,Mystery
0061811,Thriller
0061735,Comedy
0061735,Drama
0063462,Farce
0063462,Comedy
0063462,Music
0061439,Classic Musical
0061439,Adventure
0061439,Comedy
0061439,Drama
0061439,Fantasy
0061439,Musical
0061439,Romance
0062362,Classic Musical
0062362,Romantic Comedy
0062362,Comedy
0062362,Musical
0062362,Romance
0061584,Animal Adventure
0061584,Adventure
0061584,Comedy
0061584,Family
0061584,Fantasy
0061584,Musical
0061584,Romance
0062244,Documentary
0062244,History
0062244,War
0062131,Documentary
0062131,Short
0061421,Animation
0061421,Mystery
0061421,Short
0062184,Documentary
0062184,Short
0062622,Adventure Epic
0062622,Artificial Intelligence
0062622,Epic
0062622,Psychological Drama
0062622,Sci-Fi Epic
0062622,Space Sci-Fi
0062622,Adventure
0062622,Sci-Fi
0063522,Psychological Drama
0063522,Psychological Horror
0063522,Supernatural Horror
0063522,Drama
0063522,Horror
0063442,Dystopian Sci-Fi
0063442,Sci-Fi Epic
0063442,Space Sci-Fi
0063442,Time Travel
0063442,Adventure
0063442,Sci-Fi
0062765,Car Action
0062765,Action
0062765,Crime
0062765,Thriller
0063518,Tragedy
0063518,Drama
0063518,Romance
0063385,Classic Musical
0063385,Period Drama
0063385,Drama
0063385,Family
0063385,Musical
0063227,Period Drama
0063227,Biography
0063227,Drama
0063227,History
0063688,Caper
0063688,Crime
0063688,Drama
0063688,Romance
0063688,Thriller
0062994,Classic Musical
0062994,Slapstick
0062994,Biography
0062994,Comedy
0062994,Drama
0062994,Musical
0062994,Romance
0062794,Psychological Drama
0062794,Drama
0062794,Romance
0062794,Sci-Fi
0063819,Animation
0063819,Comedy
0063819,Family
0063819,Musical
0063819,Short
0063654,Drama
0063804,Animation
0063804,Comedy
0063804,Documentary
0063804,History
0063804,Short
0063514,Documentary
0063514,Short
0064665,Psychological Drama
0064665,Drama
0064115,Western Epic
0064115,Biography
0064115,Crime
0064115,Drama
0064115,Western
0065126,Adventure
0065126,Drama
0065126,Western
0066579,Dark Comedy
0066579,Period Drama
0066579,Drama
0066579,Romance
0064418,Pop Musical
0064418,Romantic Comedy
0064418,Adventure
0064418,Comedy
0064418,Musical
0064418,Romance
0065088,Psychological Drama
0065088,Drama
0065234,Political Thriller
0065234,Crime
0065234,Drama
0065234,Thriller
0064117,Quirky Comedy
0064117,Romantic Comedy
0064117,Comedy
0064117,Romance
0064840,Coming-of-Age
0064840,Period Drama
0064840,Teen Drama
0064840,Comedy
0064840,Drama
0064840,Romance
0064030,Period Drama
0064030,Biography
0064030,Drama
0064030,History
0064639,Space Sci-Fi
0064639,Survival
0064639,Adventure
0064639,Drama
0064639,Sci-Fi
0064639,Thriller
0064504,Animation
0064504,Comedy
0064504,Documentary
0064504,Family
0064504,Short
0064043,Biography
0064043,Documentary
0064043,Music
0064200,History Documentary
0064200,Political Documentary
0064200,Documentary
0064200,History
0064200,Short
0063160,Documentary
0064623,Documentary
0064623,Short
0066026,Dark Comedy
0066026,Satire
0066026,Comedy
0066026,Drama
0066026,War
0065377,Dark Comedy
0065377,Disaster
0065377,Action
0065377,Drama
0065377,Thriller
0066206,Epic
0066206,War Epic
0066206,Biography
0066206,Drama
0066206,War
0066011,Dark Romance
0066011,Tragedy
0066011,Tragic Romance
0066011,Drama
0066011,Romance
0066473,Historical Epic
0066473,War Epic
0066473,Action
0066473,Drama
0066473,History
0066473,War
0066319,Period Drama
0066319,Drama
0066319,Romance
0065593,Docudrama
0065593,Historical Epic
0065593,Period Drama
0065593,Biography
0065593,Drama
0065593,History
0065593,War
0066580,Concert
0066580,Music Documentary
0066580,Documentary
0066580,History
0066580,Music
0065976,Music Documentary
0065976,Documentary
0065976,Music
0065889,Cop Drama
0065889,Police Procedural
0065889,Political Drama
0065889,Psychological Drama
0065889,Crime
0065889,Drama
0065777,Period Drama
0065777,Political Drama
0065777,Tragedy
0065777,Drama
0065777,History
0065777,War
0066016,Comedy
0066016,Drama
0066016,Romance
0066294,Short
0066294,Western
0065901,Animation
0065901,Short
0067093,Classic Musical
0067093,Period Drama
0067093,Tragedy
0067093,Drama
0067093,Family
0067093,Musical
0067093,Romance
0067116,Cop Drama
0067116,Drug Crime
0067116,Police Procedural
0067116,Action
0067116,Crime
0067116,Drama
0067116,Thriller
0067328,Coming-of-Age
0067328,Teen Drama
0067328,Drama
0067328,Romance
0067309,Psychological Thriller
0067309,Whodunnit
0067309,Crime
0067309,Mystery
0067309,Thriller
0066817,Fairy Tale
0066817,Quest
0066817,Adventure
0066817,Animation
0066817,Comedy
0066817,Family
0066817,Fantasy
0066817,Musical
0067741,Gangster
0067741,Police Procedural
0067741,Action
0067741,Crime
0067741,Thriller
0067803,Coming-of-Age
0067803,Teen Drama
0067803,Teen Romance
0067803,Drama
0067803,Romance
0067483,Period Drama
