id,ime
0217523,Gerard Delloye
5658547,Tony Saulnier
2638240,Herve de Maigret
0301422,Pierre-Dominique Gaisseau
0606593,Howard Morris
1089489,Seth Deitch
1091976,Marie Deitch
0215126,Gene Deitch
0398096,Jack Howells
0916131,Jack Webb
0175909,Bob Considine
0080825,Frank P. Bibas
1535314,Bryden Murdoch
0447611,Kenneth Kendall
0364772,Hilary Harris
0000564,Peter O&#x27;Toole
0576345,John Megna
0653942,Frank Overton
0612322,Robert Mulligan
0368871,Henry Hathaway
0550892,George Marshall
0752813,Robert Ryan
0002175,Ken Annakin
0652631,Gerd Oswald
0001076,Joan Crawford
0120658,Victor Buono
0000736,Robert Aldrich
0696481,Robert Preston
0429250,Shirley Jones
0004983,Buddy Hackett
0196536,Morton DaCosta
0000843,Anne Bancroft
0001157,Patty Duke
0430460,Victor Jory
0671957,Arthur Penn
0001665,Lee Remick
0001948,Charles Bickford
0656183,Geraldine Page
0004309,Shirley Knight
0473228,Hardy Krüger
0183671,Nicole Courcel
0333143,Patricia Gozzi
0099984,Serge Bourguignon
0003337,Karlheinz Böhm
0505610,Henry Levin
0000017,Marlene Dietrich
0386944,Adolf Hitler
2169358,Georges Loriot
0952659,Nono Zammit
0296996,Lucien Frégis
0140643,Jean-Claude Carrière
0959916,Pierre Étaix
0318926,Dizzy Gillespie
0558636,George Mathews
0001322,Rex Harrison
0000926,Milton Berle
0001012,Claudia Cardinale
0002048,Melvyn Douglas
0728688,Martin Ritt
0414279,Lou Jacobi
0001215,Albert Finney
0948772,Susannah York
0222627,George Devine
0724798,Tony Richardson
0803785,Lilia Skala
0542858,Lisa Mann
0625680,Ralph Nelson
0321294,Aldo Giuffrè
0002190,Anthony Asquith
0316071,Stathis Giallelis
0938231,Frank Wolff
0438833,Elena Karam
0424318,Glynis Johns
0749476,Charles Ruggles
0000316,Mel Brooks
0684719,Ernest Pintoff
0296560,Robert Frost
0448123,John F. Kennedy
0418905,Randall Jarrell
0164999,Shirley Clarke
0547462,Jacques Marin
1028301,Viviane Bourdonneux
0785682,Martin Serre
0001945,Claude Berri
1744391,Marc Chagall
0202405,Claude Dauphin
0001637,Vincent Price
0893403,Lauro Venturi
0000267,Julie Andrews
0001813,Dick Van Dyke
0866835,David Tomlinson
0829038,Robert Stevenson
0000125,Sean Connery
0002085,Gert Fröbe
0000303,Honor Blackman
0357891,Guy Hamilton
0000869,Alan Bates
0660327,Irene Papas
0128050,Michael Cacoyannis
0000024,John Gielgud
0322706,Peter Glenville
0001811,Peter Ustinov
0001703,Maximilian Schell
0001174,Barbara Eden
0640023,Arthur O&#x27;Connell
0695462,Hawley Pratt
17146658,André Folco
13566243,Pierre Guilbert
13566247,Raymond Kientzy
0276341,Robert Fields
0352413,Alexander Hammid
0860136,Francis Thompson
0142829,Pau Casals
0836375,Larry Sturhahn
0001626,Christopher Plummer
0001725,Omar Sharif
0001046,Julie Christie
0001036,Geraldine Chaplin
0000805,Claudine Auger
0148041,Adolfo Celi
0950109,Terence Young
0767567,Lyudmila Saveleva
0863146,Vyacheslav Tikhonov
0094083,Sergey Bondarchuk
0000404,Jane Fonda
0001511,Lee Marvin
0130286,Michael Callan
0799033,Elliot Silverstein
0772259,John Schlesinger
0366946,Elizabeth Hartman
0337885,Guy Green
0436706,Ida Kaminska
0472166,Jozef Kroner
0958903,Frantisek Zvarík
0434443,Ján Kadár
0460033,Elmar Klos
0001673,Jason Robards
0364455,Barbara Harris
0000842,Martin Balsam
0168641,Fred Coe
0005062,Chuck Jones
0633637,Maurice Noble
0533831,Archibald Macleish
0786215,Eric Sevareid
2742509,Corinne Alsop Cole
0438356,Richard Kaplan
2398677,Jefferson Thomas
2105787,Ernest Green
2401441,Thelma Mothershed
0346549,Charles Guggenheim
1558246,Peter Scott
0137011,Patrick Carey
0852624,John Taylor
0004462,Jean-Louis Trintignant
0056435,Pierre Barouh
0500988,Claude Lelouch
0001719,George Segal
0001566,Mike Nichols
0006890,Paul Scofield
0001727,Robert Shaw
0000527,Walter Matthau
0723707,Ron Rich
0039629,Michael Aspel
0334249,Peter Graham
3907417,Dave Baldwin
0914386,Peter Watkins
0609216,Zero Mostel
0799014,Phil Silvers
0000036,Buster Keaton
0504513,Richard Lester
0001258,James Garner
0598971,Yves Montand
0001239,John Frankenheimer
0000079,Raquel Welch
0571441,Virginia McKenna
0871272,Bill Travers
0444584,Geoffrey Keen
0569710,Tom McGowan
0623948,Václav Neckár
0814162,Josef Somr
0111003,Vlastimil Brodský
0579954,Jirí Menzel
0506396,Edmond Levy
0000163,Dustin Hoffman
0001684,Katharine Ross
0000314,Charles Bronson
0001159,Faye Dunaway
0689488,Michael J. Pollard
0001421,George Kennedy
0001510,Strother Martin
0742341,Stuart Rosenberg
0001768,Rod Steiger
0643105,Warren Oates
0422484,Norman Jewison
0000698,Gene Wilder
0790071,Dick Shawn
0001321,Richard Harris
0000603,Vanessa Redgrave
0626259,Franco Nero
0289038,James Fox
0001546,Mary Tyler Moore
0001351,George Roy Hill
0002058,Samantha Eggar
0627969,Anthony Newley
8714300,Joseph B. Anderson
0926183,Stuart Whitman
0006954,Pierre Schoendoerffer
0152326,Christopher Chapman
0937747,Fred Wolf
7403185,Kieth Griggs
0877937,William Turner
0339401,Trevor Greenwood
0001158,Keir Dullea
0516972,Gary Lockwood
0843213,William Sylvester
0001201,Mia Farrow
0001023,John Cassavetes
0002106,Ruth Gordon
0000591,Roman Polanski
0001522,Roddy McDowall
0769874,Franklin J. Schaffner
0000537,Steve McQueen
0000302,Jacqueline Bisset
0001816,Robert Vaughn
0946811,Peter Yates
0926013,Leonard Whiting
0001377,Olivia Hussey
0568491,John McEnery
