id_filma,id_igralca,vloga
0053268,0353397,I
0053268,1797689,I
0053268,0344850,R
0053080,0399526,I
0053080,0399523,I
0053080,0399524,R
0052855,7548185,I
0052855,11246591,I
0052855,0537621,I
0052855,0005895,R
0054331,0000018,I
0054331,0000059,I
0054331,0000348,I
0054331,0000040,R
0054331,0542649,R
0053604,0000493,I
0053604,0000511,I
0053604,0534045,I
0053604,0000697,R
0053779,0000052,I
0053779,0001179,I
0053779,0000733,I
0053779,0000019,R
0054387,0001792,I
0054387,0949241,I
0054387,0590796,I
0054387,0657162,R
0053804,0000056,I
0053804,0001693,I
0053804,0724732,I
0053804,0695937,R
0054195,0943837,I
0054195,0001539,I
0054195,0250724,I
0054195,0842582,R
0053580,0000078,I
0053580,0001847,I
0053580,0002131,I
0053580,0000078,R
0053976,0001884,I
0053976,0883517,I
0053976,0511458,I
0053976,0000005,R
0054749,0000047,I
0054749,0000901,I
0054749,0885203,I
0054749,0001120,R
0053793,0000044,I
0053793,0001739,I
0053793,0447913,I
0053793,0112218,R
0053622,0000072,I
0053622,0002131,I
0053622,0279472,I
0053622,0542702,R
0054198,0580479,I
0054198,0202088,I
0054198,0288344,I
0054198,0202088,R
0054324,0001958,I
0054324,0001010,I
0054324,0656180,I
0054324,0896533,R
0054324,0002030,R
0053810,0001362,I
0053810,0000840,I
0053810,0404046,I
0053810,0291035,R
0054326,0002145,I
0054326,0001777,I
0054326,0384908,I
0054326,0002153,R
0054993,0271929,I
0054993,9038517,I
0054993,0703069,I
0054993,0487047,R
0053866,2571935,I
0053866,0545567,I
0053866,0384342,R
0053753,0048441,I
0053753,0205366,R
0055031,0000075,I
0055031,0000044,I
0055031,0001847,I
0055031,0006452,R
0054698,0000030,I
0054698,0000577,I
0054698,0623658,I
0054698,0001175,R
0054953,0000057,I
0054953,0000060,I
0054953,0000063,I
0054953,0496746,R
0055614,0000081,I
0055614,0001995,I
0055614,0000937,I
0055614,0730385,R
0055614,0936404,R
0054997,0000056,I
0054997,0001276,I
0054997,0001453,I
0054997,0744035,R
0055471,0000081,I
0055471,0000886,I
0055471,0385757,I
0055471,0001415,R
0055499,0027683,I
0055499,0085038,I
0055499,0001884,I
0055499,0000005,R
0055913,0000052,I
0055913,0733598,I
0055913,0762248,I
0055913,0314584,R
0056300,0415214,I
0056300,0180103,I
0056300,13786879,I
0056300,0257992,R
0054854,0904370,R
0053714,0217523,I
0053714,5658547,I
0053714,2638240,I
0053714,0301422,R
0054100,0606593,I
0054100,1089489,I
0054100,1091976,I
0054100,0215126,R
0055943,0000009,I
0055943,0398096,R
0121293,0916131,I
0055333,0175909,I
0055333,0080825,R
0055420,1535314,I
0055420,0447611,I
0055420,0364772,R
0056172,0000564,I
0056172,0000027,I
0056172,0000063,I
0056172,0000180,R
0056592,0000060,I
0056592,0576345,I
0056592,0653942,I
0056592,0612322,R
0056085,0000071,I
