id,ime
0898962,Lee Ving
0438682,Ron Karabatsos
0000873,Belinda Bauer
0199118,Malcolm Danare
0116575,Philip Bruns
0580526,Micole Mercurio
0282439,Lucy Lee Flippin
0110667,Don Brockett
0722407,Cynthia Rhodes
0564391,Durga McBroom
0681968,Stacey Pickren
0755967,Liz Sagal
0779634,Norman Scott
0001490,Adrian Lyne
0000719,F. Murray Abraham
0001371,Tom Hulce
0000931,Elizabeth Berridge
0234541,Roy Dotrice
0001003,Simon Callow
0002056,Christine Ebersole
0000470,Jeffrey Jones
0443016,Charles Kay
0573299,Kenneth McMillan
0058853,Lisbeth Bartlett
0117408,Barbara Bryne
0147168,Martin Cavina
0177260,Roderick Cook
0218562,Milan Demjanenko
0226495,Peter DiGesu
0291068,Richard Frank
0385701,Patrick Hines
0001232,Milos Forman
0001213,Harvey Fierstein
0587548,Harvey Milk
0472151,Anne Kronenberg
0367134,Tory Hartmann
0025066,Tom Ammiano
0254249,Jim Elliot
0220193,Henry Der
0947524,Jeannine Yeomans
0470094,Bill Kraus
0311249,Sally M. Gearhart
0109047,John Briggs
0113831,Jerry Brown
0141699,Jimmy Carter
1366892,Dianne Feinstein
1050807,David Fowler
2819592,Joseph Freitas
2747278,Terence Hallinan
1367602,George Moscone
0258531,Rob Epstein
0001832,Sam Waterston
0628955,Haing S. Ngor
0000518,John Malkovich
0001696,Julian Sands
0005266,Craig T. Nelson
0336960,Spalding Gray
0665473,Bill Paterson
0448058,Graham Kennedy
0156827,Katherine Krapum Chey
0682596,Oliver Pierpaoli
0156826,Edward Entero Chey
0083456,Tom Bird
0803062,Monirak Sisowath
0238825,Lambool Dtangpaibool
0923840,Ira Wheeler
0377788,David Henry
0538869,Patrick Malahide
0423646,Roland Joffé
0001009,Kate Capshaw
0702841,Ke Huy Quan
0832104,Philip Stone
0152054,Roy Chiao
0948118,David Yip
0949521,Ric Young
0160913,Chua Kah Joo
0628970,Rex Ngui
0848883,Philip Tan
0000101,Dan Aykroyd
0593052,Akio Mitamura
0945194,Michael Yama
0620730,D.R. Nanayakkara
0476095,Dharmadasa Kuruppu
0211605,Stany De Silva
0000398,Sally Field
0001080,Lindsay Crouse
0001496,Amy Madigan
0000418,Danny Glover
0369001,Yankton Hatten
0416521,Gennie James
0809031,Lane Smith
0642368,Terry O&#x27;Quinn
0719037,Bert Remsen
0048844,Ray Baker
0666256,Jay Patterson
0399981,Toni Hudson
0924636,De&#x27;voreaux White
0371479,Jerry Haynes
0359393,Lou Hancock
0104264,Shelby Brammer
0000914,Robert Benton
0001114,Judy Davis
0051856,Victor Banerjee
0001919,Peggy Ashcroft
0289038,James Fox
0934014,Richard Wilson
0671462,Antonia Pemberton
0191741,Michael Culver
0539562,Art Malik
0842578,Clive Swift
0278615,Ann Firbank
0396277,Sandra Hotz
0438930,Rashid Karapiet
0471467,H.S. Krishnamurthy
0125497,Ishaq Bux
0000180,David Lean
0681566,Michel Piccoli
0033329,Alexandre Arbatt
0880521,Liv Ullmann
0001989,Leslie Caron
0699659,Wojciech Pszoniak
0000767,Jean-Hugues Anglade
0646037,Daniel Olbrychski
0756651,Hubert Saint-Macary
0042104,Michel Aumont
0584191,Pierre Michaël
0042848,Serge Avedikian
0895598,Pierre Vial
0926919,Bernhard Wicki
0099134,Jacques Boudet
0753666,Benoît Régent
0335203,Sylvie Granotier
0800648,Albert Simono
0850990,Marcel Tassimot
0218252,Richard Dembo
0002239,Prince
0467664,Apollonia Kotero
0206528,Morris Day
0439466,Olga Karlatos
0929934,Clarence Williams III
0072934,Jerome Benton
0816966,Billy Sparks
0428379,Jill Jones
0403190,Charles Huntsberry
0225412,Dez Dickerson
0071624,Brenda Bennett
0839784,Susan Moonsie
0314842,Sandra Claire Gershman
0881478,Kim Upsher
0498570,Alan Leeds
0330269,Israel Gordon
0414838,Gil Jacobson
1591778,Joseph A. Ferraro
0536299,Albert Magnoli
0047490,Shane Bailey
0528236,Becky Jo Lynch
0393458,Don Hood
0124100,Billy Green Bush
0866055,James Tolkan
0234966,Bob W. Douglas
0821436,Andy Stahl
0805990,Lisa Sloan
0274492,Larry D. Ferrell
0867540,Susie Toomey
0867530,Kelly Toomey
0852374,Frank Hoyt Taylor
0337921,Ivan Green
0183237,Desmond Couch
0725740,Charles G. Riddle
0000698,Gene Wilder
0001456,Kelly LeBrock
0001301,Charles Grodin
0004767,Joseph Bologna
0412382,Judith Ivey
0399675,Michael Huddleston
0705717,Gilda Radner
0957905,Michael Zorek
0065084,Billy Beck
0826467,Kyra Stempel
0407237,Robin Ignico
0830390,Viola Kates Stimpson
0920164,Danny Wells
0797876,Buddy Silberman
0662505,Monica Parker
0361719,Ernest Harada
0341263,Julann Griffin
0000150,Michael J. Fox
0000502,Christopher Lloyd
0000670,Lea Thompson
0000417,Crispin Glover
0001855,Tom Wilson
0920148,Claudia Wells
0566013,Marc McClure
0818274,Wendie Jo Sperber
0225191,George DiCenzo
0564589,Frances Lee McCain
0169454,J.J. Cohen
0797150,Casey Siemaszko
0000708,Billy Zane
0914023,Harry Waters Jr.
0298412,Donald Fullilove
0293483,Lisa Freeman
0442022,Cristen Kauffman
0000709,Robert Zemeckis
0619938,Tatsuya Nakadai
0855417,Akira Terao
0628704,Jinpachi Nezu
0753480,Daisuke Ryû
7014801,Mieko Harada
0594523,Yoshiko Miyazaki
0407030,Hisashi Igawa
0676201,Pîtâ
0950784,Masayuki Yui
0441366,Kazuo Katô
0559472,Norio Matsui
0411763,Toshiya Ito
0462637,Kenji Kodama
0913872,Takashi Watanabe
1334850,Mansai Nomura
0441399,Takeshi Katô
0853392,Jun Tazaki
0879957,Hitoshi Ueki
0000041,Akira Kurosawa
0001903,Norma Aleandro
0022765,Héctor Alterio
0897693,Chunchuna Villafañe
0032955,Hugo Arana
0061298,Guillermo Battaglia
0749719,Chela Ruíz
0176536,Patricio Contreras
0733289,María Luisa Robledo
0605791,Aníbal Morixe
0677753,Jorge Petraglia
0145486,Analia Castro
1082986,Daniel Lago
0488615,Augusto Larreta
0658648,Laura Palmucci
0721106,Leal Rey
0088840,Floria Bloise
0145827,Lidia Catalano
1169851,Deborah Kors
0699933,Luis Puenzo
0000534,Kelly McGillis
0001305,Lukas Haas
0813977,Josef Sommer
0747962,Jan Rubes
0324231,Alexander Godunov
0421116,Brent Jennings
0526985,Patti LuPone
0532815,Angus MacInnes
0738189,Frederick Rolf
0001557,Viggo Mortensen
0308596,John Garson
0561876,Beverly May
0189726,Ed Crowley
0137114,Timothy Carhart
0441988,Sylvia Kauders
0841607,Marian Swan
0656183,Geraldine Page
0001334,John Heard
0323344,Carlin Glynn
0000360,Rebecca De Mornay
0004668,Kevin Cooney
0507255,Harvey Lewis
0802985,Kirk Sisco
0849628,Dave Tanner
0321874,Gil Glasgow
0550325,Mary Kay Mars
0863219,Wezz Tildon
0125840,Peggy Ann Byers
0739717,David Romo
0868133,Tony Torn
0868129,John Torn
0557728,Alexandra Masterson
0557751,Peter Masterson
0000458,William Hurt
0000471,Raul Julia
0000968,Sonia Braga
0506784,José Lewgoy
0328604,Milton Gonçalves
0685140,Míriam Pires
0537345,Nuno Leal Maia
0868640,Fernando Torres
0084349,Patricio Bisso
0135629,Herson Capri
0241602,Denise Dumont
0661323,Nildo Parente
0678020,Antônio Petrin
0340716,Wilson Grey
0265825,Miguel Falabella
0106585,Walter Breda
0346961,Luiz Guilherme
0057789,Walmir Barros
0002199,Hector Babenco
0000333,Cher
0000655,Eric Stoltz
0000385,Sam Elliott
0001268,Estelle Getty
0246004,Richard Dysart
0000368,Laura Dern
0001013,Harry Carey Jr.
0122036,Dennis Burkley
0598413,Lawrence Monoson
0681319,Ben Piazza
0454973,L. Craig King
0694490,Alexandra Powers
0591702,Kelly Jo Minter
0881161,Joe Unger
0021112,Todd Allen
0386332,Howard Hirdler
0059169,Jeannie Dimter Barton
0000953,Peter Bogdanovich
0001749,Maggie Smith
0000307,Helena Bonham Carter
0324009,Patrick Godfrey
0001132,Judi Dench
0236902,Fabia Drake
0377131,Joan Henley
0907510,Amanda Walker
0000358,Daniel Day-Lewis
0109984,Maria Britneva
0494863,Rosemary Leach
0001291,Rupert Graves
0148149,Peter Cellier
0288148,Mia Fothergill
