id_igralca,id_filma,vloga
0036170,0084865,I
1229791,0084865,I
0730425,0084865,I
0151259,0084865,I
0304564,0084865,I
0153093,0084865,I
1369407,0084865,I
0143942,0084865,I
0856784,0084865,I
0328676,0084865,I
0316702,0084865,I
0001175,0084865,R
0000658,0084707,I
0000177,0084707,I
0001493,0084707,I
0439334,0084707,I
0628273,0084707,I
0877186,0084707,I
0609215,0084707,I
0742409,0084707,I
0742558,0084707,I
0000862,0084707,I
0513468,0084707,I
0745232,0084707,I
0502494,0084707,I
0937387,0084707,I
0688834,0084707,I
0802925,0084707,I
0196849,0084707,I
0181324,0084707,I
0001587,0084707,R
0000163,0084805,I
0001448,0084805,I
0000414,0084805,I
0001056,0084805,I
0001164,0084805,I
0000195,0084805,I
0001628,0084805,I
0310960,0084805,I
0000133,0084805,I
0067497,0084805,I
0284129,0084805,I
0309832,0084805,I
0858106,0084805,I
0777531,0084805,I
0600717,0084805,I
2743638,0084805,I
0801660,0084805,I
0581518,0084805,I
0001628,0084805,R
0000072,0082443,I
0000080,0082443,I
0927622,0082443,I
0150196,0082443,I
0161476,0082443,I
0252032,0082443,I
0324305,0082443,I
0351425,0082443,I
0381523,0082443,I
0385441,0082443,I
0386944,0082443,I
0582474,0082443,I
0651844,0082443,I
0654389,0082443,I
0691068,0082443,I
0740483,0082443,I
0902861,0082443,I
2807447,0082443,I
0777510,0082443,R
0000152,0084434,I
0000700,0084434,I
0001418,0084434,I
0005162,0084434,I
0089408,0084434,I
0002060,0084434,I
0001283,0084434,I
0686470,0084434,I
0843221,0084434,I
0000325,0084434,I
0294229,0084434,I
0951471,0084434,I
0676964,0084434,I
0779967,0084434,I
1491267,0084434,I
0748497,0084434,I
0928113,0084434,I
0919681,0084434,I
0000431,0084434,R
0000154,0086617,I
0000244,0086617,I
0001373,0086617,I
0734368,0086617,I
0484770,0086617,I
0208772,0086617,I
0614526,0086617,I
0274817,0086617,I
0814358,0086617,I
0638148,0086617,I
1455689,0086617,I
0013178,0086617,I
0256635,0086617,I
0618708,0086617,I
0449652,0086617,I
0544878,0086617,I
0496545,0086617,I
0879639,0086617,I
0001837,0086617,R
0273888,0084874,I
0664661,0084874,I
0126960,0084874,I
0328020,0084874,I
0398436,0084874,I
0273312,0084874,I
1468030,0084874,I
0749899,0084874,I
12110771,0084874,I
0127596,0084874,I
5310956,0084874,I
0305054,0084874,R
0000434,0086190,I
0000148,0086190,I
0000402,0086190,I
0001850,0086190,I
0000355,0086190,I
0562679,0086190,I
0789970,0086190,I
0001519,0086190,I
0000568,0086190,I
0000469,0086190,I
0001190,0086190,I
0000027,0086190,I
0048652,0086190,I
0672190,0086190,I
0171829,0086190,I
0141816,0086190,I
0493200,0086190,I
0741714,0086190,I
0549658,0086190,R
0001731,0086197,I
0001277,0086197,I
0000438,0086197,I
0000598,0086197,I
0911542,0086197,I
0001347,0086197,I
0822535,0086197,I
0001021,0086197,I
0715622,0086197,I
0667182,0086197,I
0290869,0086197,I
0000448,0086197,I
0595567,0086197,I
0375629,0086197,I
0221044,0086197,I
0934113,0086197,I
0000834,0086197,I
0188371,0086197,I
0442241,0086197,R
0000511,0086425,I
0000700,0086425,I
0000197,0086425,I
0000362,0086425,I
0001099,0086425,I
0001475,0086425,I
0140906,0086425,I
0454487,0086425,I
0289030,0086425,I
0003609,0086425,I
0785873,0086425,I
0606797,0086425,I
0947046,0086425,I
0071960,0086425,I
0430778,0086425,I
0153183,0086425,I
0917419,0086425,I
0579960,0086425,I
0000985,0086425,R
0000380,0086423,I
0002128,0086423,I
0000990,0086423,I
0000979,0086423,I
0000289,0086423,I
0399141,0086423,I
0902188,0086423,I
0322339,0086423,I
0185611,0086423,I
0071960,0086423,I
0391275,0086423,I
0615236,0086423,I
0298596,0086423,I
0281678,0086423,I
0007462,0086423,I
0081847,0086423,I
0083442,0086423,I
0085581,0086423,I
0000915,0086423,R
0000659,0086619,I
0001388,0086619,I
0001597,0086619,I
0675490,0086619,I
0384696,0086619,I
0179680,0086619,I
0330962,0086619,I
0209095,0086619,I
0817287,0086619,I
0544140,0086619,I
0056271,0086619,I
0528695,0086619,I
0879271,0086619,I
0546816,0086619,I
0377931,0086619,I
0055964,0086619,I
0780766,0086619,I
0048449,0086619,I
0000659,0086619,R
0195073,0085655,I
0172423,0085655,I
0000177,0085655,I
1659054,0085655,I
0635852,0085655,I
0049422,0085655,I
0195070,0085655,I
0195072,0085655,I
0251733,0085655,I
0270732,0085655,I
1716832,0085655,I
0312916,0085655,I
0729234,0085655,I
0922667,0085655,I
0001915,0085655,R
0000884,0085549,I
0636694,0085549,I
0803785,0085549,I
1230879,0085549,I
0373600,0085549,I
0898962,0085549,I
0438682,0085549,I
0000873,0085549,I
0199118,0085549,I
0116575,0085549,I
0580526,0085549,I
0282439,0085549,I
0110667,0085549,I
0722407,0085549,I
0564391,0085549,I
0681968,0085549,I
0755967,0085549,I
0779634,0085549,I
0001490,0085549,R
0000719,0086879,I
0001371,0086879,I
0000931,0086879,I
0234541,0086879,I
0001003,0086879,I
0002056,0086879,I
0000470,0086879,I
0443016,0086879,I
0573299,0086879,I
0048652,0086879,I
0058853,0086879,I
0117408,0086879,I
0147168,0086879,I
0177260,0086879,I
0218562,0086879,I
0226495,0086879,I
