id,naslov,leto,ocena,oznaka,cas,opis,cena,zasluzek
0090576,De aanslag,1986,7.2,PG,141,"A Dutch doctor, haunted by grueling childhood memories of World War II, struggles to find peace as he spends his life looking for answers about the tragic night that shaped him.",,512403
0090863,Barva denarja,1986,7.0,R,119,"Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling, which in turn inspires him to make an unlikely comeback.",14500000,52293982
0092099,Top Gun,1986,6.9,PG,109,"As students at the United States Navy&apos;s elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",15000000,357288178
0094226,Nedotakljivi,1987,7.8,R,119,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.",25000000,76272360
0092603,Babettes gæstebud,1987,7.8,G,103,"During the late 19th century, a strict religious community in a Danish village takes in a French refugee from the Franco-Prussian War as a servant to the late pastor&apos;s daughters.",,4637920
0093713,Pelle erobreren,1987,7.8,PG-13,157,"When his wife dies, Lasse takes his 12-year-old son, Pelle, from their home in Sweden to Denmark in search of a better life.",,2063688
0093389,The Last Emperor,1987,7.7,PG-13,163,"Bernardo Bertolucci&apos;s Oscar-winning dramatisation of the life story of China&apos;s last emperor, Pu Yi.",23000000,43994979
0093870,RoboCop,1987,7.6,R,102,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",13000000,53427575
0094291,Wall Street,1987,7.3,R,126,"An impatient young stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless, greedy corporate raider who takes the youth under his wing.",15000000,43848069
0093565,Moonstruck,1987,7.2,PG,102,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",15000000,80644712
0092890,Umazani ples,1987,7.1,PG-13,100,"Spending the summer at a Catskills resort with her family, Frances &quot;Baby&quot; Houseman falls in love with the camp&apos;s dance instructor, Johnny Castle.",6000000,214577242
0093260,Mikrokozmos,1987,6.8,PG,120,"A test pilot is miniaturized in a secret experiment, and accidentally injected into a hapless store clerk.",27000000,25893810
0093148,Harry and the Hendersons,1987,6.1,PG,110,The Henderson family adopt a friendly Sasquatch but have a hard time trying to keep the legend of &apos;Bigfoot&apos; a secret.,10000000,49998613
0095765,Novi kino Paradiz,1988,8.5,PG,174,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema&apos;s projectionist.,5000000,13020497
0095953,Dezevni clovek,1988,8.0,R,133,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn&apos;t know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheri...",25000000,354825435
0095647,Mississippi v plamenih,1988,7.8,R,128,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,15000000,34603943
0096438,Kdo je potunkal Rogerja zajca,1988,7.7,PG,104,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.",70000000,329803958
0095341,Hôtel Terminus,1988,7.6,Unrated,267,"A documentary about Klaus Barbie, the Gestapo chief of Lyon, and his life after the war.",,
0094721,Beetlejuice,1988,7.5,PG,92,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",15000000,74842346
0095159,A Fish Called Wanda,1988,7.5,R,108,"In London, four very different people team up on a jewel heist, then try to double-cross one another for the loot, complicated by their efforts to fool a very proper barrister.",7500000,62493712
0094947,Nevarna razmerja,1988,7.5,R,119,A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.,14000000,34670720
0094608,Obtozena,1988,7.1,R,111,"After a young woman suffers a brutal gang rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.",13000000,32078318
0094747,Bird,1988,7.1,R,161,The troubled life and career of jazz musician Charlie &quot;Bird&quot; Parker.,9000000,2181474
0096463,Zeposleno dekle,1988,6.8,R,113,"When a secretary&apos;s idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss&apos; job.",28000000,102953112
0095638,The Milagro Beanfield War,1988,6.8,R,117,The accidental breakdown of an irrigation valve launches a hot confrontation between the mainly Latino farmers in a tiny New Mexico town and the real estate developers and politicians determined to acquire their land for a golf re...,22000000,13825794
0094606,The Accidental Tourist,1988,6.7,PG,121,An emotionally distant writer of travel guides must carry on with his life after his son is killed and his marriage crumbles.,,32632093
0097576,Indiana Jones in Zadnji križarski pohod,1989,8.2,PG-13,127,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",48000000,474171806
0097165,Drustvo mrtvih pesnikov,1989,8.1,PG,128,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys&apos; boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",16400000,235860116
0097099,Common Threads: Stories from the Quilt,1989,8.1,,79,A collection of profiles of people dead from AIDS who are remembered in the AIDS Memorial Quilt.,,
0097441,Bitka za slavo,1989,7.8,R,122,"Robert Gould Shaw leads the U.S. Civil War&apos;s first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",18000000,26979166
0097937,Moja leva noga,1989,7.8,R,103,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",600000,14743391
0097757,Mala morska deklica,1989,7.6,G,83,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince&apos;s love.,40000000,211343479
0096754,Brezno,1989,7.5,PG-13,140,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,70000000,90520202
0096895,Batman,1989,7.5,PG-13,126,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",35000000,411569241
0097499,Henrik V,1989,7.5,PG-13,137,"In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.",9000000,10161099
0097239,Šofer gospodične Daisy,1989,7.3,PG,99,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,7500000,145793296
0096969,Rojen četrtega julija,1989,7.2,R,145,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought.",14000000,161001698
