id,naslov,ocena,cas,leto,oznaka,opis,cena,zasluzek
0045592,Call Me Madam,6.7,114,1953,Approved,Washington hostess Sally Adams becomes a Truman-era US ambassador to a European grand duchy.,,
0046006,The Kidnappers,7.1,93,1953,Approved,"Harry and Davy, two orphaned boys raised by authoritarian grandparents in Nova Scotia, yearn for a dog despite their grandfather&apos;s stern refusal, mirroring other children&apos;s pet ownership.",,
0046008,The Living Desert,7.3,69,1953,Approved,"Although first glance reveals little more than stones and sand, the desert is alive. Witness moving rocks, spitting mud pots, gorgeous flowers and the never-ending battle for survival between creatures of every shape, size and des...",,
0044009,The Sea Around Us,6.1,62,1953,Approved,Oscar-winning documentary based on Rachel L. Carson&apos;s pioneering study of ocean life chronicled in her award-winning and best-selling 1951 book of the same name.,,
0046442,Toot Whistle Plunk and Boom,7.1,10,1953,Approved,A crash course on the history of Western musical instruments.,,
0045937,Johann Mouse,7.4,8,1953,Approved,Tom attempts to catch Jerry by playing music he dances to.,,
0045545,Bear Country,7.6,33,1953,Approved,The lives of black bears in Yellowstone National Park.,,
0045485,The Alaskan Eskimo,6.5,27,1953,G,"Depicts the everyday home life of the families in a typical Eskimo village. The building and hunting activities of the summer, the winter activities underground when the blizzards come, and the celebration of spring with the &quot;mask...",,
0046154,Overture to The Merry Wives of Windsor,6.2,9,1953,Approved,Johnny Green conducts the MGM Symphony Orchestra in a performance of the title work.,,
0047296,Na pristaniški obali,8.1,108,1954,Approved,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate&apos;s victims.",910000,3768
0047437,Sabrina,7.6,113,1954,Approved,"After her return from school in Paris, a playboy finally takes notice of his family&apos;s chauffeur&apos;s daughter, who&apos;s long had a crush on him, but he questions his more serious brother&apos;s motives when he warns against getting involved ...",2238813,2635
0047472,Seven Brides for Seven Brothers,7.3,102,1954,Approved,"When a backwoodsman in 1850s Oregon brings a wife home to his farm, his six brothers decide that they want to get married too.",2540000,14839
0046672,"20,000 Leagues Under the Sea",7.2,127,1954,G,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",9000000,746
0047528,Cesta,8.0,108,1954,Not Rated,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",,41362
0046754,The Barefoot Contessa,6.9,128,1954,Approved,"This is the life of a Hollywood movie star named Maria, as told by writer/director Harry Dawes, from being discovered in Madrid, Spain, until her funeral in Italy.",,18437
0047030,Zgodba o Glennu Millerju,7.3,115,1954,Approved,Biography of bandleader Glenn Miller from his beginnings to his death over the English Channel in December 1944.,,994
0047086,The High and the Mighty,6.6,147,1954,Approved,"When a commercial airliner develops engine problems on a trans-Pacific flight and the pilot loses his nerve, it is up to the washed-up co-pilot Dan Roman to bring the plane in safely.",1470000,4334
0046874,The Country Girl,7.2,104,1954,Approved,"A director hires an alcoholic has-been and strikes up a stormy relationship with the actor&apos;s wife, who he believes is the cause of all the man&apos;s problems.",,
0047444,Miyamoto Musashi,7.4,93,1954,Not Rated,"Depicts the early life of the legendary warrior Musashi Miyamoto; his years as an aspiring warrior, an outlaw and finally a true samurai.",,
0046806,The Bridges at Toko-Ri,6.7,102,1954,Approved,"During the Korean War, a Navy fighter pilot must come to terms with his own ambivalence towards the war and the fear of having to bomb a set of highly defended bridges.",,12556
0047580,Trije novcici v vodnjaku,6.2,102,1954,Approved,"Three American women working in Rome, Italy share a spacious apartment and the desire to find love and marriage. Each one experiences a few bumps in her journey to romance.",,
0046808,Broken Lance,6.9,96,1954,Approved,"The saga of the Devereaux rancher family, set in 1880&apos;s Arizona.",2000000,
0047642,The Vanishing Prairie,7.1,71,1954,Approved,Story of the American prairie as it was when vast herds of bison and elk grazed there.,,
0048157,The Unconquered,7.0,55,1954,Approved,"This documentary chronicles the life of Helen Keller, who was struck by an illness as a young child that left her both blind and deaf. Aided by her devoted teacher, Anne Sullivan, Keller is able to develop ways to communicate and ...",,
0047585,Thursday&#x27;s Children,7.3,21,1954,Approved,"Won the Academy Award for the Best Documentary Short of 1954. The subject deals with the children at The Royal School for the Deaf in Margate, Kent. The hearing-handicapped children are shown painstakingly learning what words are ...",,
0047587,A Time Out of War,6.6,22,1954,,"A dramatic incident from the American Civil War when two Union soldiers and one Confederate soldier, facing each other at a battle front, agree on an hour&apos;s truce.",,
0047672,When Magoo Flew,6.3,6,1954,,Mr. Magoo sets off to go to the movies but goes to an airport by mistake and gets on a plane thinking it to be a theater. Little does Magoo know the man he is sitting next to is actually a thief and when a detective appears on the...,,
0047578,This Mechanical Age,6.6,10,1954,,A short documentary film chronicling the early days and failures of aviation.,,
